name,hypernym ,definition,cannonical_form
object,-,"a tangible and visible entity; an entity that can cast a shadow  it was full of rackets, balls and other objects",-
artifact,object,a man-made object taken as a whole,-
animal,object,a living organism characterized by voluntary movement,-
plant,object,(botany) a living organism lacking the power of locomotion,-
food,object,any substance that can be metabolized by an animal to give energy and build tissue,-
communication,object,something that is communicated by or to or between people or groups,-
hair_slide,artifact,a decorative hinged clip that girls and women put in their hair to hold it in place,-
carousel,artifact,"a large, rotating machine with seats for children to ride or amusement","[carrousel,merry-go-round,roundabout,whirligig]"
wok,artifact,pan with a convex bottom; used for frying in Chinese cooking,-
photocopier,artifact,a copier that uses photographic methods of making copies,-
jellyfish,animal,any of numerous usually marine and free-swimming coelenterates that constitute the sexually reproductive forms of hydrozoans and scyphozoans,-
organ,artifact,wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard,[pipe organ]
Arctic_fox,animal,thickly-furred fox of Arctic regions; brownish in summer and white in winter,"[Alopex lagopus, white fox]"
chime,artifact,a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument,"[bell,gong]"
tobacco_shop,artifact,a shop that sells pipes and pipe tobacco and cigars and cigarettes,"[tobacconist shop,tobacconist]"
slot,artifact,a slot machine that is used for gambling; &quot;they spend hours and hours just playing the slots,[one-armed bandit]
spider_web,artifact,a web resembling the webs spun by spiders,[spider's web]
cocktail_shaker,artifact,a shaker for mixing cocktails,-
upright,artifact,a piano with a vertical sounding board,[upright piano]
ear,plant,fruiting spike of a cereal plant especially corn,"[capitulum,spike]"
unicycle,artifact,a vehicle with a single wheel that is driven by pedals,[monocycle]
boxer,animal,a breed of stocky medium-sized short-haired dog with a brindled coat and square-jawed muzzle developed in Germany,-
consomme,food,clear soup usually of beef or veal or chicken,-
robin,animal,large American thrush having a rust-red breast and abdomen,"[American robin,Turdus migratorius]"
rock_beauty,animal,gold and black butterflyfish found from West Indies to Brazil,[Holocanthus tricolor]
stage,artifact,a large platform on which people can stand and can be seen by an audience; &quot;he clambered up onto the stage and got the actors to help him into the box&quot;,-
house_finch,animal,small finch originally of the western United States and Mexico,"[Carpodacus mexicanus,linnet]"
three-toed_sloth,animal,"a sloth that has three long claws on each forefoot and each hindfoot,","[Bradypus tridactylus,ai]"
tile_roof,artifact,a roof made of fired clay tiles,-
French_bulldog,animal,small stocky version of the bulldog having a sleek coat and square head,-
harvestman,animal,spiderlike arachnid with a small rounded body and very long thin legs,"[Phalangium opilio,daddy longlegs]"
green_mamba,animal,green phase of the black mamba,-
dishrag,artifact,a cloth for washing dishes,[dishcloth]
Newfoundland,animal,a breed of very large heavy dogs with a thick coarse usually black coat; highly intelligent dogs and vigorous swimmers; developed in Newfoundland,[Newfoundland dog]
triceratops,animal,huge ceratopsian dinosaur having three horns and the neck heavily armored with a very solid frill,-
barrel,artifact,a cylindrical container that holds liquids,[cask]
file,artifact,office furniture consisting of a container for keeping papers in order,"[file cabinet,filing cabinet]"
miniature_poodle,animal,a breed of small poodles,-
clog,artifact,footwear usually with wooden soles,"[geta,patten,sabot]"
tank,artifact,an enclosed armored military vehicle; has a cannon and moves on caterpillar treads,"[armoured combat vehicle,armored combat vehicle,army tank]"
Saluki,animal,old breed of tall swift keen-eyed hunting dogs resembling greyhounds; from Egypt and southwestern Asia,"[gazelle hound,Saluki]"
hotdog,food,a frankfurter served hot on a bun,"[red hot,hot dog]"
yawl,artifact,a ship's small boat (usually rowed by 4 or 6 oars),-
Walker_hound,animal,an American breed of foxhound,[Walker foxhound]
lipstick,artifact,makeup that is used to color the lips,[lip rouge]
prayer_rug,artifact,a small rug used by Muslims during their devotions,[prayer mat]
worm_fence,artifact,rail fence consisting of a zigzag of interlocking rails,"[Virginia fence,snake fence,snake-rail fence]"
fire_screen,artifact,a metal screen before an open fire for protection (especially against flying sparks),[fireguard]
frying_pan,artifact,a pan used for frying foods,"[frypan,skillet]"
reel,artifact,winder consisting of a revolving spool with a handle; attached to a fishing rod,-
ladybug,animal,small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests,"[ladybird beetle,lady beetle,ladybird,ladybeetle]"
oboe,artifact,a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece,"[hautboy,hautbois]"
cliff,artifact,"a steep high face of rock; ""he stood on a high cliff overlooking the town""; ""a steep drop","[drop-off,drop]"
beer_bottle,artifact,a bottle that holds beer,-
holster,artifact,a sheath (usually leather) for carrying a handgun,-
Gordon_setter,animal,a Scottish breed with a black-and-tan coat,-
pencil_box,artifact,a box for holding pencils,[pencil case]
ashcan,artifact,a bin that holds rubbish until it is collected,"[ash bin,trash barrel,wastebin,garbage can,trash can,ash-bin,dustbin,trash bin,ashbin]"
dugong,animal,sirenian tusked mammal found from eastern Africa to Australia; the flat tail is bilobate,[Dugong dugon]
komondor,animal,Hungarian breed of large powerful shaggy-coated white dog; used also as guard dog,-
orange,food,round yellow to orange fruit of any of several citrus trees,-
bolete,plant,any fungus of the family Boletaceae,-
aircraft_carrier,artifact,a large warship that carries planes and has a long flat deck for takeoffs and landings,"[carrier,aircraft carrier,attack aircraft carrier,flattop]"
dome,artifact,a hemispherical roof,-
Tibetan_mastiff,animal,very large powerful rough-coated dog native to central Asia,-
parallel_bars,artifact,gymnastic apparatus consisting of two parallel wooden rods supported on uprights,[bars]
solar_dish,artifact,a concave mirror that concentrates the rays of the sun; can produce high temperatures,"[solar collector,solar dish,solar furnace]"
toucan,animal,brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak,-
snorkel,artifact,breathing device consisting of a bent tube fitting into a swimmer's mouth and extending above the surface; allows swimmer to breathe while face down in the water,-
street_sign,communication,a sign visible from the street,-
goose,animal,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks,-
rhinoceros_beetle,animal,any of various large chiefly tropical beetles having horns on the head; pest on coconuts,-
catamaran,artifact,a boat with two parallel hulls held together by single deck,-
combination_lock,artifact,lock that can be opened only by turning dials in a special sequence,-
iPod,artifact,(trademark) a pocket-sized device used to play music files,-
missile,artifact,a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control,-
poncho,artifact,a blanket-like cloak with a hole in the center for the head,-
horizontal_bar,artifact,gymnastic apparatus consisting of a bar supported in a horizontal position by uprights at both ends,[high bar]
miniskirt,artifact,a very short skirt,[mini]
meerkat,animal,a mongoose-like viverrine of South Africa having a face like a lemur and only four toes,[mierkat]
Ibizan_hound,animal,breed of slender agile medium-sized hound found chiefly in the Balearic Islands; said to have been bred originally by the Pharaohs of ancient Egypt,[Ibizan Podenco]
garbage_truck,artifact,"a truck for collecting domestic refuse; ""in Britain a garbage truck is called a dustcart",[dustcart]
white_wolf,animal,wolf of Arctic North America having white fur and a black-tipped tail,"[Arctic wolf,Canis lupus tundrarum]"
carton,artifact,a box made of cardboard; opens by flaps on top,-
coral_reef,plant,a reef consisting of coral consolidated into limestone,-
cannon,artifact,heavy gun fired from a tank,-
hourglass,artifact,a sandglass that runs for sixty minutes,-
crate,artifact,a rugged box (usually made of wood); used for shipping,-
cuirass,artifact,medieval body armor that covers the chest and back,-
theater_curtain,artifact,a hanging cloth that conceals the stage from the view of the audience; rises or parts at the beginning and descends or closes between acts and at the end of a performance,[theatre curtain]
malamute,animal,breed of sled dog developed in Alaska,"[Alaskan malamute,malemute]"
trifle,food,"a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate",-
African_hunting_dog,animal,a powerful doglike mammal of southern and eastern Africa that hunts in large packs; now rare in settled area,"[Lycaon pictus,hyena dog,Cape hunting dog]"
mixing_bowl,artifact,bowl used with an electric mixer,-
black-footed_ferret,animal,musteline mammal of prairie regions of United States; nearly extinct,"[ferret,Mustela nigripes]"
nematode,animal,unsegmented worms with elongated rounded body pointed at both ends; mostly free-living but some are parasitic,"[nematode worm,roundworm]"
golden_retriever,animal,an English breed having a long silky golden coat,-
lion,animal,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male,"[king of beasts,Panthera leo]"
bookshop,artifact,a shop where books are sold,"[bookstall,bookstore]"
electric_guitar,artifact,a guitar whose sound is amplified by electrical means,-
scoreboard,artifact,a large board for displaying the score of a contest (and some other information),-
ant,animal,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,[emmet.pismire]
vase,artifact,an open jar of glass or porcelain used as an ornament or to hold flowers,-
dalmatian,animal,a large breed having a smooth white coat with black or brown spots; originated in Dalmatia,"[carriage dog,coach dog]"
school_bus,artifact,a bus used to transport children to or from school,-
king_crab,animal,large edible crab of northern Pacific waters especially along the coasts of Alaska and Japan,"[Alaska king crab,Paralithodes camtschatica,Alaska crab,Alaskan king crab]"